"Franzoesisch","Deutsch"
"Nous avons terminé.","Wir sind fertig."
"Vous pouvez me donner...","Koennen Sie mir... geben?"
"le stylo (m)","der Stift"
"la trousse (f)","die Federmappe"
"le beurre (m)","die Butter"
"Vous pouvez venir.","Koennen Sie kommen?"
"Terminez votre travail.","Beendet eure Arbeit."
"Retournez à vos places.","Geht zurueck auf eure Plaetze!"
"commencer qc (v)","etw. anfangen"
"Nous commençons","Wir beginnen"
"Viens au tableau.","Komm an die Tafel."
"la faim (f)","der Hunger"
"avoir faim (v)","Hunger haben"
"la soif (f)","der Durst"
"avoir soif (v)","Durst haben"
"le frigo (m)","der Kuehlschrank"
"beaucoup de","viel"
"la confiture (f)","die Marmelade, die Konfituere"
"le poulet (m)","das Haehnchen"
"le dessert (m)","der Joghurt"
