"Franzoesisch","Deutsch"
"le café (m)","das Café, auch der Kaffee"
"Il prend/Elle prend","Er/Sie nimmt"
"on prend","man nimmt"
"prendre qc (v)","etw. nehmen"
"prendre son temps (v)","sich Zeit lassen"
"la coca (f)","die Cola"
"l'idée (f)","die Idee"
"le jus de pomme (m)","der Apfelsaft"
"le café-crème (m)","der Milchkaffee"
"comprendre qn/qc (v)","jdn/etw. verstehen"
"la publication (f)","die Rechnung"
"la pause (f)","die Pause"
"quatre fois (adv)","vier Mal"
"le menu (m)","das Menue"
"le menu à quinze euros","das Menue fuer 15 Euro"
"le poisson (m)","der Fisch"
"les frites (f, pl)","die Pommes frites"
"tout de suite (adv)","sofort"
"les bonbons (m, pl)","das Bonbon"
