classe,page,de,en
7,151,Hallo. / Servus.,Hello.
7,151,"Freut mich, dich/euch/Sie kennenzulernen.",Nice to meet you.
7,151,"nett, schön",nice
7,151,kennenlernen; (sich) treffen,(to) meet
7,151,du; dich; dir; ihr; euch; Sie; Ihnen,you
7,151,ich bin,I’m (= I am)
7,151,hungrig,hungry
7,151,vorsichtig,careful
7,151,eine Möwe,a seagull
7,151,es ist (bei Sachen und Tieren auch: er ist; sie ist),it’s (= it is)
7,151,"der, die, das",the
7,151,Wie heißt du? (wörtlich: Was ist dein Name?),What’s your name?
7,151,das Jahr; der Jahrgang,year
7,151,alt,old
7,151,Wie alt bist du?,How old are you?
7,151,Wo kommst du her?,Where are you from?
7,151,mögen,(to) like
7,151,der Fußball,football
7,151,du bist; ihr seid; Sie sind,you’re (= you are)
7,151,danke (schön),"thank you, thanks"
7,151,die Farbe,colour
7,151,und,and
7,151,richtig,right
7,151,False,wrong
7,151,Und du? / Was ist mit dir?,What about you?
7,151,die Klasse; der Unterricht; der Kurs,class
7,151,auch,too
7,151,Tschüs.,Bye.
7,151,Auf Wiedersehen. / Servus.,Goodbye.
7,151,der Urlaub; die Ferien,holiday(s)
7,151,auf dem Bild,in the picture
7,151,"die Mama, die Mutti",mum
7,151,"der Papa, der Vati",dad
7,151,Leos Mama/Mutti,Leo’s mum
7,151,das Tier,animal
7,151,das Getränk,drink
7,151,"das Ding, die Sache",thing
7,151,essen; fressen,(to) eat
7,151,Dinge zum Essen,things to eat
7,151,"andere(r, s)",other
7,151,hier; hierher,here
7,151,ich kann … sehen,I can see…
7,151,ich kann … nicht sehen,I can’t (= cannot) see …
7,151,sich erinnern an; daran denken; nicht vergessen,(to) remember
7,151,der Hund,dog
7,151,Wie geht’s? / Wie geht es dir/euch/Ihnen?,How are you?
7,151,Mir/Leo geht es gut.,I’m fine. / Leo is fine.
7,151,ich bin nicht …; ich bin kein/e …,I’m not …
7,151,so gut,so good
7,151,über mich/dich/...,about me/you/...
7,151,mein/e,my
7,151,das Lieblingstier,favourite animal
7,151,es ist … / es gibt …,there’s (= there is)
7,151,es sind … / es gibt …,there are
7,151,die Katze,cat
7,151,ein Elefant,an elephant
7,151,das Pferd,horse
7,151,der Löwe,lion
7,151,der Affe,monkey
7,151,der Papagei,parrot
7,151,die Schlange,snake
7,151,"der Fisch, die Fische","fish, pl fish"
7,151,das Hobby,hobby
7,151,der Sport; die Sportart,sport
7,151,(sich etwas) anhören; zuhören,(to) listen (to)
7,151,die Musik,music
7,151,zeichnen,(to) draw
7,151,tanzen,(to) dance
7,151,schwimmen,(to) swim
7,151,das Foto,photo
7,151,Fotos machen,(to) take photos
7,151,"lieben, sehr mögen",(to) love
