classe,page,de,en
Klasse 8 G-Kurs,172,Sklaverei,slavery
Klasse 8 G-Kurs,172,(be)enden,end
Klasse 8 G-Kurs,172,Diskriminierung (von jmd.),discrimination (against sb.)
Klasse 8 G-Kurs,172,öffentlich,public
Klasse 8 G-Kurs,172,"vorn, im vorderen Teil",at the front
Klasse 8 G-Kurs,172,(Sitz-)Platz,seat
Klasse 8 G-Kurs,172,einsteigen (in den Bus),get on (the bus)
Klasse 8 G-Kurs,172,aussteigen (aus dem Bus),get off (the bus)
Klasse 8 G-Kurs,172,ziehen,pull
Klasse 8 G-Kurs,172,geben: sie hat gegeben,give: she has given
Klasse 8 G-Kurs,172,Prediger/in,preacher
Klasse 8 G-Kurs,172,vorher; zuvor; schon einmal,before
Klasse 8 G-Kurs,172,vergessen: ich habe vergessen,forget: I have forgotten
Klasse 8 G-Kurs,172,fallen: sie ist gefallen,fall: she has fallen
