"Franzoesisch","Deutsch"
"le jeu (m)","das Spiel"
"le jeu video (m) / les jeux video (m, pl)","das Computerspiel"
"C'est nul! (loc)","Das ist doof!"
"les cheveux courts (m, pl)","kurze Haare"
"les cheveux longs (m, pl)","lange Haare"
"les cheveux lisses (m, pl)","glatte Haare"
"les cheveux frises (m, pl)","krause Haare"
"la queue de cheval (f)","der Pferdeschwanz"
"avoir une raie (f)","einen Scheitel haben"
"avoir une frange (f)","einen Pony haben"
"il/elle est rousse (adj)","er/sie ist rothaarig"
"etre chatain","braun sein"
"criminel/criminelle (adj)","kriminell, verbrecherisch"
"le/la/les/l' (pron)","direktes Objektpronomen"
"vous connaissez (v)","ihr kennt"
"connaitre qn/qc (v)","jdn/etw. kennen"
