"Franzoesisch","Deutsch"
"personne (pron)","niemand"
"rien (pron)","nichts"
"Je ne sais pas.","Ich weiss es nicht."
"la securite (f)","die Sicherheit"
"le navigateur (m)","der Browser"
"l'adresse (f) e-mail","die E-Mail-Adresse"
"le lien (m)","der Link"
"le logiciel (m)","die Software"
"le virus (m)","das Virus"
"le filtre (m) anti-spam","der Spamfilter"
"la souris (f)","die Maus"
"allumer l'ordinateur (v)","den Computer einschalten"
"installer qc (v)","etw. installieren"
"sauvegarder qc (v)","etw. speichern"
"avoir mal au ventre (v)","Bauchschmerzen haben"
"avoir mal aux yeux (v)","Augenschmerzen haben"
