"Franzoesisch","Deutsch"
"la terre (f)","die Erde"
"sur terre (loc)","auf der Erde"
"invaincu/invaincue (adj)","ungeschlagen"
"la gorge (f)","die Schlucht"
"les Gorges du Gardon (f, pl)","die Gardon-Schluchten"
"decembre (m)","Dezember"
"monter (v)","steigen"
"la colonie de vacances (f)","das Ferienlager"
"Gargas (m)","Gargas"
"la Grotte des Demoiselles (f)","die Grotte des Demoiselles"
"le pont (m)","die Bruecke"
"le Pont du Diable (m)","die Teufelsbruecke"
"le Pont du Gard (m)","der Pont du Gard"
"ouverte (adj)","geoeffnet"
"les Cevennes (f, pl)","die Cevennen"
"la piscine a vagues (f)","das Wellenbad"
"nager (v)","schwimmen"
"faire du toboggan (loc)","Rutsche fahren"
"faire du cheval (loc)","reiten"
"faire du velo (loc)","Rad fahren"
