"Franzoesisch","Deutsch"
"le hip-hop (m)","der Hip-Hop"
"le hobby (m)","das Hobby"
"le super-heros (m)","der Superheld"
"la France (f)","Frankreich"
"l'arbre (m)","der Baum"
"arriver (v)","ankommen"
"il s'est passe (v)","ist passiert"
"apres vous (prep)","nach Ihnen"
"trop (adv)","zu"
"cool (adj)","cool"
"la peur (f)","die Angst"
"rester (v)","bleiben"
"monter dans le bateau (v)","ins Boot steigen"
"monter dans le bus (v)","in den Bus steigen"
"monter sur un rocher (v)","auf einen Felsen steigen"
"jusqu'a (prep)","bis"
"tout a coup (loc)","ploetzlich"
"tomber (v)","fallen, stuerzen"
"l'herbe (f)","das Gras"
