"Franzoesisch","Deutsch"
"le defile","der Umzug, die Parade"
"sortir","ausgehen, hinausgehen"
"une ambiance","eine Stimmung, eine Atmosphaere"
"quebecois/quebecoise","aus Quebec, in Quebec"
"ne... pas encore","noch nicht"
"observer qn/qc","jdn/etw. beobachten"
"partir","losgehen, wegfahren"
"ne... personne","niemand"
"rencontrer qn","jdm begegnen, jdn treffen"
"le Canadien / la Canadienne","der/die Kanadier/-in"
"le hockey sur glace","Eishockey"
