"Franzoesisch","Deutsch"
"le bruit (m)","der Laerm"
"le look (m)","der Look"
"le style (m)","der Stil"
"la meche (f)","die Straehne"
"vert/verte (adj)","gruen"
"le foulard (m)","der Schal"
"c'est cool (loc)","Das ist cool"
"brun/brune (adj)","braun"
"le top (m)","das Top"
"la jupe (f)","der Rock"
"les elements (m, pl)","die Elemente"
"le groupe (m)","die Gruppe"
"le metal (m)","das Metall"
"le travail (m)","die Arbeit"
"faire du bruit (loc)","Krach machen"
"la casquette (f)","die Muetze"
"blanc/blanche (adj)","weiss"
