"Franzoesisch","Deutsch"
"me, te, le, la, l'","mir, mich, dich, ihn, sie, es"
"nous, vous, les","uns, euch, sie"
"donner qc a qn (v)","jdm. etw. geben"
"donner son avis (v)","seine Meinung sagen"
"le tatouage (m)","die Taetowierung"
"contre (prep)","gegen"
"trouver qc (v)","etw. finden"
"penser que (v)","denken, dass"
"Toulouse (f)","Toulouse"
"il/elle fait froid","es ist kalt"
"la vie (f)","das Leben"
"il faut (loc)","man muss"
"la foule (f)","die Menschenmenge"
"la creme chantilly (f)","die Schlagsahne"
"cher/chere (m/f)","lieber/liebe"
