"Franzoesisch","Deutsch"
"perdre qn/qc (v)","jdn/etw. verlieren"
"vendre qc (v)","etw. verkaufen"
"acheter qc (v)","etw. kaufen"
"les chips (f, pl)","die Chips"
"la fete (f)","das Fest"
"la foire des courses (f)","das Einkaufsfest"
"faire les courses (v)","Einkaeufe machen"
"entendre qn/qc (v)","jdn/etw. hoeren"
"la voisine (f)","die Nachbarin"
"le voisin (m)","der Nachbar"
"la police (f)","die Polizei"
"brule/brulee (adj)","verbrannt"
"feter qc (v)","etw. feiern"
"l'annee (f)","das Jahr"
