"Franzoesisch","Deutsch"
"le cafe (m)","das Cafe, auch der Kaffee"
"le festival (m)","das Festival"
"la campagne (f)","das Land im Gegensatz zur Stadt"
"le velo (m)","das Fahrrad"
"Ils font du volley.","Sie spielen Volleyball."
"Elle fait de la planche a voile.","Sie surft."
"Il fait de l'escalade.","Er klettert."
"Ils font de la natation.","Sie schwimmen."
"Ils font du velo.","Sie fahren Rad."
"Ils font du shopping.","Sie kaufen ein."
"la region (f)","die Region"
"le truc (m)","das Ding"
"le truc de fou (m)","das Wahnsinnsding"
"le jeune (m)","der Jugendliche"
"la difficulte (f)","die Schwierigkeit"
"difficile (adj)","schwierig"
"le drapeau (m)","die Fahne"
