"Franzoesisch","Deutsch"
"extraordinaire","aussergewoehnlich"
"etre ne/nee","geboren sein"
"la carriere","die Karriere"
"deja","schon, bereits"
"jeune","jung"
"ecrire qc (a qn)","(jdm) etw. schreiben"
"un instrument","ein Instrument"
"la chose","die Sache, das Ding"
"le champion / la championne","der Champion, der/die Meister/-in"
"un entraineur / une entraineuse","ein/eine Trainer/-in"
"encourager qn","jdn ermutigen"
"une equipe","eine Mannschaft, ein Team"
"le talent","das Talent"
"compter sur qn","auf jdn zaehlen"
"comprendre (qn/qc)","(jdn/etw.) verstehen"
"comme ca","so"
"apprendre qc","etw. lernen"
"a... ans","mit ... Jahren"
"gagner (qc)","(etw.) gewinnen"
"la pression","der Druck"
"aider (qn)","(jdm) helfen"
