"Franzoesisch","Deutsch"
"faire partie de qc","zu etw. gehoeren, Teil von etw. sein"
"l'Union europeenne (UE)","die Europaeische Union (EU)"
"la monnaie","die Waehrung"
"la capitale","die Hauptstadt"
"le monument","das Bauwerk, das Denkmal"
"le symbole","das Symbol"
"la langue officielle","die Amtssprache"
"On y parle...","Man spricht dort ... + Sprache"
"le neerlandais","Niederlaendisch, die niederlaendische Sprache"
"ca depend de qc/qn","es haengt von etw./jdm ab"
"la region","die Gegend, die Region"
"bilingue","zweisprachig"
"la specialite","die Spezialitaet"
"typique","typisch"
"le drapeau","die Fahne, die Flagge"
"le jaune","Gelb, die gelbe Farbe"
"la fete nationale","der Nationalfeiertag"
