"Franzoesisch","Deutsch"
"le heros / l'heroine","der/die Held/-in"
"normal/normale/normaux/normales","normal"
"mettre... minutes","... Minuten brauchen"
"je me leve","ich stehe auf"
"je me prepare","ich bereite mich vor, ich mache mich fertig"
"on s'entraine","wir trainieren"
"le reste","der Rest"
"tout droit","geradeaus"
"la place","der Platz"
"traverser qc","etw. ueberqueren"
"puis","dann"
"le carrefour","die Kreuzung"
"tourner","abbiegen"
"deuxieme","zweiter/zweite/zweites"
"continuer","hier: weitergehen, weiterlaufen"
"au bout de qc","am Ende von etw."
"jusqu'a","bis"
"le feu","die Ampel"
