"Franzoesisch","Deutsch"
"la soiree","der Abend, in seinem Verlauf"
"je crois que","ich glaube, dass"
"heureux/heureuse","gluecklich"
"tu pourrais + inf.","du koenntest"
"Bon courage !","Viel Erfolg!, Du schaffst das!"
"la meme chose","dasselbe"
"repondre a qn/qc","jdm antworten, etw. beantworten"
"echanger qc (contre qc)","etw. austauschen, etw. (gegen etw.) tauschen"
"facile","leicht, einfach"
"fier/fiere (de qn/qc)","stolz (auf jdn/etw.)"
"ca explose fam.","es kracht, es gibt Streit"
"severe","streng"
"vraiment","wirklich"
"le conflit","der Konflikt"
"parler de tout et de rien","ueber alles Moegliche sprechen"
"quel/quelle/quels/quelles","welcher/welche/welches"
"le geste","die Geste, die Massnahme, auch: die Handbewegung"
"ecolo fam. / ecologique","umweltbewusst, oekologisch"
"le moyen de transport","das Verkehrsmittel, das Transportmittel"
"le velo","das Fahrrad"
"confortable","bequem"
