"Franzoesisch","Deutsch"
"Quel idee!/Quelle histoire!","Was fuer eine Idee!/Was fuer eine Geschichte!"
"peu apres (loc)","kurz danach"
"plonger (v)","springen, tauchen"
"faire une etoile (loc)","einen Stern machen"
"une etoile (f)","ein Stern"
"faire faillite (v)","pleitegehen"
"s'enerver (v)","sich aufregen"
"comme ca (loc)","so"
"faire rire qn (v)","jdn. zum Lachen bringen"
"celles (pron)","diejenigen"
"celle (pron)","diejenige"
"ceux (pron)","diejenigen"
"celui (pron)","derjenige"
"bete (adj)","dumm"
"avoir faim (v)","Hunger haben"
"la (loc)","da, hier"
"vraiment (adv)","wirklich"
"appeler au secours (loc)","um Hilfe rufen"
"sauver qn/qc (v)","jdn/etw. retten"
"le moniteur (m)","der Segellehrer"
"le chef (m) / la chef (f)","der Chef / die Chefin"
"beaucoup (adv)","sehr, viel"
"pres (adv)","nah"
"l'aventure (f)","das Abenteuer"
