"Franzoesisch","Deutsch"
"sortir (v)","ausgehen"
"sortir (v)","hinausgehen"
"le plat (m)","das Gericht"
"le gouter (m)","die Zwischenmahlzeit"
"traditionnel/traditionnelle (adj)","traditionell"
"le concours (m)","der Wettbewerb"
"le sapin (m)","die Tanne"
"la fete des voisins (f)","das Nachbarschaftsfest"
"le jambon (m)","der Schinken"
"le chocolat (m)","die Schokolade"
"la betise (f)","der Quatsch"
"ce n'est pas (loc)","das ist nicht"
"faire connaissance avec qn (v)","jdn. kennenlernen"
"Noel (m)","Weihnachten"
"la partie (f)","die Partie"
"le tresor (m)","der Schatz"
"la tradition (f)","die Tradition"
