"Franzoesisch","Deutsch"
"le systeme","das System"
"la note","die Note (Schule, Musik)"
"le systeme de notes sur 20","das Notensystem bis 20 (bewertet mit Punkten von 0-20)"
"surpris/surprise","ueberrascht"
"autre","anderer/andere/anderes"
"le sondage","die Umfrage"
"precis/precise","genau, exakt"
"la couleur","die Farbe"
"c'est pourquoi","deshalb, deswegen"
"demander si","fragen, ob"
"demander (qc a qn)","(jdm nach etw.) fragen, (jdm um etw.) bitten"
"dire qc (a qn)","(jdm) etw. sagen"
"que","dass"
"exister","existieren, geben"
"seulement","nur (noch), erst"
"le commentaire","der Kommentar"
"stressant/stressante","stressig"
"de... a...","von ... bis ..."
