"Franzoesisch","Deutsch"
"blond/blonde (adj)","blond"
"gros/grosse (adj)","gross"
"la matiere (f)","der Stoff"
"l'EPS (f)","die Leibeserziehung"
"les heures (f, pl)","die Stunden"
"les vacances (f, pl)","die Ferien"
"detester qn/qc (v)","jdn/etw. hassen"
"aimer qc (v)","etw. moegen"
"timide (adj)","schuechtern"
"l'anglais (m)","Englisch"
"la serie (f)","die Serie"
"americain/americaine (adj)","amerikanisch"
"americain (m)","Amerikaner"
"brun/brune (adj)","braun, braunhaarig"
"petit/petite (adj)","klein"
"grand/grande (adj)","gross"
"peu (adv)","wenig"
"les arts plastiques (m, pl)","Kunst"
"les maths (m, pl)","Mathematik"
"mal/malle (adj)","schlecht"
"le cauchemar (m)","der Albtraum"
"le monstre (m)","das Monster"
"gentil/gentille (adj)","nett"
