"Franzoesisch","Deutsch"
"juste","gerecht, fair"
"d'un cote... d'un autre cote...","einerseits ... andererseits ..."
"motivant/motivante","motivierend"
"mauvais/mauvaise","schlecht"
"il/elle veut savoir si","er/sie will wissen, ob"
"passer","verbringen"
"ennuyeux/ennuyeuse","langweilig"
"les spaghettis","die Spaghetti"
"le dogsitting","das Hundesitting"
"faire du dogsitting","auf den Hund von jdm aufpassen"
"gagner de l'argent","Geld verdienen"
"l'argent de poche","das Taschengeld"
"payer qc","etw. (be)zahlen"
"de l'heure","pro Stunde"
"Il faisait beau/froid/chaud.","Es war schoenes Wetter/kalt/warm."
"il y avait","es gab, da war/waren"
"la campagne","das Land (im Gegensatz zur Stadt)"
"la cata fam. / la catastrophe","die Katastrophe"
"beaucoup de monde","viele Leute"
