"Franzoesisch","Deutsch"
"la flute (f)","die Floete"
"le violon (m)","die Geige"
"la batterie (f)","das Schlagzeug"
"la basse (f)","die Bassgitarre"
"la guitare (f)","die Gitarre"
"le synthe (m)","das Keyboard"
"la carte (f)","die Karte"
"le baby-foot (m)","der Kicker"
"les echecs (m, pl)","das Schachspiel"
"le ping-pong (m)","Tischtennis"
"le badminton (m)","Badminton"
"decouvrir qc (v)","etw. entdecken"
"decouvrir","entdecken"
"la Camargue (f)","die Camargue"
"du... au... (loc)","vom... bis zum..."
"quoi (pron)","was"
"le canoe (m)","das Kanu"
"le camping (m)","der Campingplatz"
"la speleo (f)","Spelaeologie"
"le canyoning (m)","Canyoning"
