"Franzoesisch","Deutsch"
"le recu (m)","der Beleg"
"les cereales (f, pl)","die Cerealien"
"le projet (m)","das Projekt"
"presenter qc a qn (v)","jdm. etw. praesentieren"
"la specialite (f)","die Spezialitaet"
"le film (m)","der Film"
"il faut du/de la/de l' (loc)","man braucht"
"faire la lessive (v)","die Waesche machen"
"la farine (f)","das Mehl"
"le sucre (m)","der Zucker"
"la levure (f)","die Hefe"
"le beurre (m)","die Butter"
"le citron (m)","die Zitrone"
"le zeste (m) de citron","die Zitronenschale"
"la vanille (f)","die Vanille"
"le reste (m)","der Rest"
"coller (v)","kleben"
"nous devons faire qc (v)","wir muessen etw. tun"
"devoir (v)","muessen"
"rajouter qc (v)","etw. hinzufuegen"
"la pate (f)","der Teig"
"couper qc (v)","etw. schneiden"
"decorer qc (v)","etw. dekorieren"
"le coin (m)","die Ecke"
