"Franzoesisch","Deutsch"
"le Quebec","Quebec (groesste und franzoesischsprachige Provinz Kanadas)"
"la foret","der Wald"
"immense","riesig"
"la baleine","der Wal"
"le fleuve","der Fluss"
"le Canada","Kanada"
"le panneau","das Schild"
"un ours","ein Baer"
"peint/peinte","bemalt"
"la lumiere","das Licht"
"le nord","der Norden"
"le sud","der Sueden"
"l'est","der Osten"
"l'ouest","der Westen"
"la province","die Provinz"
"le paysage","die Landschaft"
"au bord de qc","am Ufer von etw., am/an der"
"l'ocean (Atlantique)","der (Atlantische) Ozean"
"(trois) fois plus grand(e) que qc","(drei)mal so gross wie etw."
"(80) pour cent (de qc)","(80) Prozent (von etw.)"
"le territoire","das Gebiet"
"en general","im Allgemeinen"
