"Franzoesisch","Deutsch"
"waxy (adj)","wachsartig"
"le specialiste/la specialiste (m/f)","der/die Spezialist/in"
"expliquer qc a qn (v)","jdm. etw. erklaeren"
"le risque (m)","das Risiko"
"le studio (m)","das Studio"
"le tatouage (m)","die Taetowierung"
"le tatoueur/la tatoueuse (m/f)","der/die Taetowierer/in"
"l'instrument (m)","das Instrument"
"le coq (m)","der Hahn"
"le motif (m)","das Motiv"
"l'outil (m)","das Werkzeug"
"il/elle met","er/sie zieht an"
"la table (f)","der Tisch"
"le frigo (m)","der Kuehlschrank"
