"Franzoesisch","Deutsch"
"minuit (m)","Mitternacht"
"puis (adv)","dann"
"le sapin (m)","die Tanne"
"la cabane (f)","die Huette"
"le the (m) aux cabanes","der Huettentee"
"le jardin (m)","der Garten"
"dormir (v)","schlafen"
"pendant (prep)","waehrend"
"le Nouvel An (m)","Neujahr"
"chinois/chinoise (adj)","chinesisch"
"quelle/quel/quels/quelles (interr. adj)","welcher/welche"
"avec qui (loc)","mit wem"
"le carnaval (m)","der Karneval"
"Paques (m, pl)","Ostern"
"la fete des enfants (f)","das Kinderfest"
"le muguet (m)","das Maigloeckchen"
"la fete de la Saint-Jean (f)","das Johannisfest"
"la kermesse (f)","die Kirmes"
"Halloween (m)","Halloween"
"ma fete (f)","mein Namenstag"
