"Franzoesisch","Deutsch"
"avoir lieu","stattfinden"
"feter qc","etw. feiern"
"la fin","das Ende"
"decouvrir qn/qc","jdn/etw. entdecken"
"surtout","vor allem"
"le spectacle","die Vorstellung, die Show"
"une association","eine Organisation"
"proposer qc (a qn)","(jdm) etw. bieten, (jdm) etw. anbieten"
"une activite","eine (Freizeit-)Aktivitaet"
"different/differente","verschieden, unterschiedlich, anders"
"le jeu","das Spiel"
"le tram","die Strassenbahn"
"ouvrir qc","etw. oeffnen, auch: etw. aufschlagen"
