"Franzoesisch","Deutsch"
"la meche (f)","die Straehne"
"il/elle plait","er/sie gefaellt"
"Excuse-moi/Excusez-moi","Entschuldige/Entschuldigen Sie"
"une excuse (f)","eine Entschuldigung"
"en SM/L/XL","in den Kleidergroessen S/M/L/XL"
"essayer qc (v)","etw. versuchen"
"tard (adv)","spaet"
"plus tard (loc)","spaeter"
"avoir l'air de qc/qn (loc)","aussehen wie"
"le paysan (m)","der Bauer"
"le representant (m)","der Vertreter"
"le pull (m)","der Pulli"
"je lui ai dit","ich habe ihm/ihr gesagt"
"chers/cheres (m/f)","teuer"
"l'armoire (f)","der Schrank"
"la banane (f)","die Banane"
"la chemise (f)","das Hemd"
"comprendre qc/qn (v)","etw./jdn. verstehen"
