"Franzoesisch","Deutsch"
"partout","ueberall"
"interessant/interessante","interessant"
"engage/engagee","engagiert"
"original/originale/originaux/originales","originell"
"vrai/vraie","wahr, richtig, echt"
"polonais/polonaise","polnisch"
"longtemps","lange"
"seul/seule","allein"
"le theme","das Thema"
"l'humour","der Humor"
"critiquer (qn/qc)","(jdn/etw.) kritisieren"
"le cliche","das Klischee"
"la femme","die Frau"
"un homme","ein Mann"
"la beaute","die Schoenheit"
"la mode","die Mode"
"faire des etudes","studieren"
"le policier / la policiere","der/die Polizist/-in"
