"Franzoesisch","Deutsch"
"etre a l'aise (v)","sich wohl fuehlen"
"permettre qc a qn (v)","jdm. etw. erlauben"
"l'avenir (m)","die Zukunft"
"Montfermeil (f)","Montfermeil"
"le conseil (m)","der Ratschlag"
"temporaire (adj)","voruebergehend"
"mal (adv)","schlecht"
"faire mal (v)","wehtun"
"le reseau (m)","das Netz"
"le reseau social (m)","das soziale Netzwerk"
"le web (m)","das Internet"
"le profil (m)","das Profil"
"le pseudo (m)","der Spitzname"
"le coeur (m)","das Herz"
"le cheveu (m) / les cheveux (m, pl)","das Haar"
"les yeux (m, pl)","die Augen"
