"Franzoesisch","Deutsch"
"la riviere","der Fluss"
"une ile","eine Insel"
"la Suisse","die Schweiz"
"le lac","der See"
"le ski","der Ski, das Skifahren"
"les Alpes","die Alpen"
"le pays","das Land"
"l'Europe","Europa"
"qui","der/die/das (Relativpronomen)"
"il/elle se trouve","er/sie/es befindet sich"
"les Pays-Bas","die Niederlande"
"compter qc","etw. zaehlen, hier: haben"
"la virgule","das Komma"
"un million de","eine Million"
"un habitant / une habitante","ein/eine Einwohner/-in, ein/eine Bewohner/-in"
