"Franzoesisch","Deutsch"
"Minne Mama (f)","Minne Mama"
"l'acteur (m) / l'actrice (f)","der/die Schauspieler/in"
"debile (adj)","bescheuert"
"le talent (m)","das Talent"
"jouer (v)","spielen"
"inspirer qn (v)","jdn. inspirieren"
"le reportage (m)","die Reportage"
"en direct (loc)","live"
"Le Monde des ados (m)","die Jugendzeitschrift"
"rencontrer qn (v)","jdn. treffen"
"le handball (m)","Handball"
"le volley (m)","Volleyball"
"lui (obl.) / eux, elles (obl.)","indirektes Objektpronomen"
"poser des questions a qn (v)","jdm. Fragen stellen"
"dire qc a qn (v)","jdm. etw. sagen"
"dire a qn (v)","jdm. etw. sagen"
