"Franzoesisch","Deutsch"
"discuter (de qc)","(ueber etw.) reden, (ueber etw.) diskutieren"
"etre en colere","wuetend sein"
"Et alors ?","Na und?"
"exagerer","uebertreiben"
"N'importe quoi ! fam.","So ein Quatsch!"
"enerver qn","jdn nerven, jdn aergern"
"attendre qn/qc","auf jdn/etw. warten"
"avoir raison","recht haben"
"Qu'est-ce que tu en penses ?","Was denkst du darueber?"
"la solution","die Loesung"
"le conseil","der Rat, der Ratschlag"
"J'en ai marre ! fam.","Mir reicht's!, Ich habe es satt!"
"accompagner qn","jdn begleiten"
"la cuisine","die Kueche"
"trop","zu viel, zu (sehr)"
"la fois","das Mal"
