"Franzoesisch","Deutsch"
"la darne (f)","die Darne"
"facile (adj)","einfach"
"la douche (f)","die Dusche"
"l'eau (f)","das Wasser"
"la ceinture (f)","der Guertel"
"la ceinture de securite (f)","der Sicherheitsgurt"
"tout droit (loc)","geradeaus"
"Agenais (m)","ein Bewohner von Agen"
"le feu rouge (m)","die rote Ampel"
"en face de (loc)","gegenueber von"
"l'eglise (f)","die Kirche"
"au bout de (loc)","am Ende von"
"le kilometre (m)","der Kilometer"
"repeter qc (v)","etw. wiederholen"
"un tour (m)","eine Tour"
"encore une fois (loc)","noch einmal"
"la main (f)","die Hand"
"sale (adj)","schmutzig"
"laisser qc/qn (v)","etw./jdn. lassen"
"seul/seule (adj)","allein"
"oudor qc (v)","etw. riechen"
"l'euro (m)","der Euro"
