"Franzoesisch","Deutsch"
"Quel est-ce qui c'est passe?","Was ist passiert?"
"quelqu'un (pron)","jemand"
"pirater qc (v)","etw. hacken"
"manipuler qn (v)","jdn. manipulieren"
"super (adj)","super"
"le commentateur (m)","der Kommentator"
"efficace (adj)","wirksam"
"nous effacons","wir loeschen"
"l'ennemi (m) / l'ennemie (f)","der Feind/die Feindin"
"le mot (m)","das Wort"
"le mot de passe (m)","das Passwort"
"horrible (adj)","schrecklich"
"la chose (f)","die Sache"
"quelque chose (m)","etwas"
"le principal/la principale (m/f)","der/die Schulleiter/in"
"principale (adj)","hauptsaechlich"
"mettre qn au courant (v)","jdn. informieren"
