"Franzoesisch","Deutsch"
"attendre-nous (v)","auf uns warten"
"la lettre (f)","der Brief"
"Ensaminta (f)","Ensaminta"
"ecrire qn/qc (v)","jdn/etw. schreiben"
"se baigner (v)","baden"
"la mer (f)","das Meer"
"se balader (v)","spazieren gehen"
"(se) raconter qc (v)","etw. erzaehlen"
"plein de (quant)","viel"
"se lever (v)","aufstehen"
"avant (adv)","vorher"
"minuit (m)","Mitternacht"
"s'ennuyer (v)","sich langweilen"
"se disputer (v)","sich streiten"
"ce n'est pas vrai","das stimmt nicht"
"dormir (v)","schlafen"
"servir (v)","bedienen"
