"Franzoesisch","Deutsch"
"peser qc","etw. wiegen, abwiegen"
"le gramme","das Gramm"
"le centime","der Cent"
"la pomme de terre","die Kartoffel"
"cher/chere","teuer"
"quelqu'un","jemand"
"le meilleur/la meilleure","der/die/das beste"
"le meilleur/la meilleure... du monde","der/die/das beste ... der Welt"
"long/longue","lang"
"la longueur","die Laenge"
"avoir une longueur de...","... lang sein"
"la voiture","das Auto"
"le jour","der Tag, am Tag, tagsueber"
"par jour/par semaine","pro Tag/pro Woche"
"le nom","der Name, auch: der Nachname"
"court/courte","kurz"
"le village","das Dorf"
