"Franzoesisch","Deutsch"
"le festival","das Festival"
"le monde","die Welt"
"le monde entier","die ganze Welt"
"une annee","ein Jahr"
"l'annee derniere","letztes Jahr, im letzten Jahr"
"tot","frueh, zeitig"
"le record","der Rekord"
"haut/haute","hoch"
"la hauteur","die Hoehe"
"avoir une hauteur de...","... hoch sein"
"le metre","der Meter"
"rapide","schnell"
"rouler (a... kilometres-heure)","(mit ... Stundenkilometern) fahren"
"le kilometre-heure","der Stundenkilometer"
"le kilometre","der Kilometer"
"incroyable","unglaublich"
"leger/legere","leicht (Gewicht)"
"le sud","der Sueden"
