"Franzoesisch","Deutsch"
"admirer qn/qc (v)","jdn/etw. bewundern"
"la bise (f)","der Kuss"
"le Tour de France (m)","die Tour de France"
"genial (adj)","genial"
"gagner (v)","gewinnen"
"le handballeur (m)","der Handballspieler"
"la handballeuse (f)","die Handballspielerin"
"la coupe (f)","der Pokal"
"la medaille (f)","die Medaille"
"le championnat (m)","die Meisterschaft"
"olympique (adj)","olympisch"
"le monde (m)","die Welt"
"l'Europe (f)","Europa"
"le championnat d'Europe (m)","die Europameisterschaft"
"la natation (f)","Schwimmen"
"le champion (m)","der Champion"
"la championne (f)","die Championesse"
"les Jeux Olympiques (m, pl)","die Olympischen Spiele"
"la star (f)","der Star"
