"Franzoesisch","Deutsch"
"la neige","der Schnee"
"(neuf) mois sur douze","(neun) Monate im Jahr, (neun) von zwoelf Monaten"
"le Quebecois / la Quebecoise","der/die Einwohner/-in von Quebec"
"etre d'origine (allemande)","(deutscher) Herkunft sein, (deutsche) Wurzeln haben"
"le peuple","das Volk"
"autochtone","einheimisch, indigen"
"venir","kommen"
"venir de + pays/ville","kommen aus + Land/Stadt"
"coloniser qn/qc","jdn/etw. kolonisieren"
"la vue","die Aussicht"
"devenir","werden"
"le carnaval","der Karneval"
"dormir","schlafen"
"durer","dauern, andauern"
"le/la touriste","der/die Tourist/-in"
