"Franzoesisch","Deutsch"
"rouge (adj)","rot"
"la mousse (f)","die Moewe"
"le ballon (m)","der Ballon"
"la baie (f)","die Bucht"
"le voilier (m)","das Segelboot"
"les bateaux (m, pl)","die Boote"
"le sport nautique (m)","der Wassersport"
"la vague (f)","die Welle"
"le sauveteur (m)","der Rettungsschwimmer"
"le rocher (m)","der Fels"
"hier (adv)","gestern"
"demain (adv)","morgen"
"ignorer qn/qc (v)","jdn/etw. ignorieren"
"quitter qn/qc (v)","jdn/etw. verlassen"
"le maitre (m)","der Meister"
"a fond (loc)","voellig"
"a bord de qc (loc)","an Bord von etw."
"le charme (m)","der Charme"
"charmer (v)","bezaubern"
"appeler qn (v)","jdn. rufen"
"s'appelle (v)","sich nennen"
