"Franzoesisch","Deutsch"
"un echange","ein Austausch"
"un echange scolaire","ein Schueleraustausch"
"le planning","die Planung, der Terminplan"
"bientot","bald"
"la meme chose que","dasselbe wie, genauso wie"
"en ce moment","zurzeit, im Moment"
"bosser fam.","arbeiten, bueffeln"
"le brevet","das (Abschluss-)Zeugnis, auch: der Mittlere Schulabschluss"
"un examen","eine Pruefung"
"a la fin","am Ende, zum Schluss"
"prochain/prochaine","naechster/naechste/naechstes"
"le lycee (professionnel)","das (berufliche) Gymnasium"
