"Franzoesisch","Deutsch"
"orange (adj)","orange"
"gris/grise (adj)","grau"
"le chemisier (m)","die Bluse"
"un carmen (m)","das Carmen-Top"
"une robe (f) a pois","ein gepunktetes Kleid"
"une echarpe (f)","der Schal"
"un chapeau (m)","der Hut"
"une mini-jupe (f)","der Minirock"
"un piercing (m)","das Piercing"
"un tres court (m)","das Crop-Top"
"les boucles d'oreilles (f, pl)","die Ohrringe"
"prendre qc (v)","etw. nehmen"
"prendre une pause (loc)","eine Pause machen"
"prendre un verre (loc)","ein Glas trinken"
"prendre son temps (loc)","sich Zeit lassen"
"prendre son pied (loc)","seinen Spass haben"
"les baskets (f, pl)","die Turnschuhe"
"Ce n'est pas mon truc.","Das ist nicht mein Ding."
