"Franzoesisch","Deutsch"
"Il fait beau","Das Wetter ist schoen"
"il fait chaud","Es ist heiss"
"il fait frais","Es ist kuehl"
"il fait du vent","Es ist windig"
"il fait froid","Es ist kalt"
"il fait des degres","Es sind... Grad"
"il fait du soleil","Die Sonne scheint"
"il fait gris","Es ist grau"
"il pleut","Es regnet"
"il y a du soleil","Es ist sonnig"
"il y a du vent","Es ist windig"
"il y a des nuages","Es ist bewoelkt"
"il y a de l'orage","Es gewittert"
"Qu'est-ce que tu as fait","Was hast du gemacht"
"pendant (prep)","waehrend"
"attendre qn/qc (v)","auf jdn/etw. warten"
"repondre a qn (v)","jdm. antworten"
"la reponse (f)","die Antwort"
"le jeu (m)","das Spiel"
