"Franzoesisch","Deutsch"
"paniquer (v)","in Panik geraten"
"se retrouver (v)","sich wiederfinden"
"nager (v)","schwimmen"
"sauver qn/qc (v)","jdn/etw. retten"
"tout le monde (m)","alle"
"de (prep)","von"
"deux metres (m, pl)","zwei Meter"
"une vague (f) de deux metres","eine zwei Meter hohe Welle"
"un lit (m) de deux metres","ein zwei Meter breites Bett"
"une table (f) de deux metres","ein zwei Meter langer Tisch"
"arriver (v)","ankommen"
"C'est trop tard! (loc)","Es ist zu spaet!"
"etre au courant (v)","informiert sein"
"la raison (f)","der Grund"
"d'apres (prep)","laut"
