"Franzoesisch","Deutsch"
"le rugby (m)","Rugby"
"le sport (m) d'equipe","der Mannschaftssport"
"passer a (v)","uebergehen zu"
"commencer qc (v)","etw. beginnen"
"deux heures de (m)","zwei Stunden"
"tous les soirs (loc)","jeden Abend"
"tous les apres-midis","jeden Nachmittag"
"toutes les semaines","jede Woche"
"tous les week-ends","jedes Wochenende"
"le match (m)","das Spiel"
"par (prep) semaine/annee/jour","pro Woche/Jahr/Tag"
"l'Internet (m)","das Internet"
"l'emploi du temps (m)","der Stundenplan"
"bouder (v)","schmollen"
"la chorale (f)","der Chor"
"la douche (f)","die Dusche"
"telephoner a qn (v)","jdn. anrufen"
"cher/chere (adj)","teuer"
"Ca va etre egal","Das ist mir egal"
