"Franzoesisch","Deutsch"
"le pull (m)","der Pulli"
"changer (v)","wechseln"
"le meme/la meme (adj)","derselbe/dieselbe"
"autre (adj)","andere/anderes"
"la chose (f)","das Ding"
"c'est une autre chose","Das ist etw. anderes"
"interesser qn (v)","jdn. interessieren"
"encaisser qc (v)","etw. einkassieren"
"plusieurs (quant)","mehrere"
"avoir faim (v)","Hunger haben"
"appuyer sur qc (v)","etw. druecken"
"former (v)","bilden"
"certaines (adj)","einige"
"quelques (adj)","einige, ein paar"
