"Franzoesisch","Deutsch"
"en ligne","online"
"avoir besoin de qn/qc","jdn/etw. brauchen"
"d'occasion","gebraucht"
"le casque","der Kopfhoerer, auch: der Helm"
"casse/cassee","zerbrochen, kaputt"
"reparer qc","etw. reparieren"
"le scotch","das Klebeband"
"nouveau/nouvel/nouvelle/nouveaux/nouvelles","neu"
"jeter qc","etw. (weg)werfen"
"la poubelle","der Muelleimer"
"le voyage","die Reise"
"un avion","ein Flugzeug"
"faire le tri","den Muell trennen"
"un emballage","eine Verpackung"
"en plastique","aus Plastik"
"mal","schlecht"
"recycler qc","etw. recyceln, etw. wiederverwenden"
"le papier","das Papier"
"s'engager","sich engagieren"
"l'environnement","die Umwelt"
"faire un effort","sich anstrengen, sich bemuehen"
"le confort","das Wohlbefinden"
