"Franzoesisch","Deutsch"
"cliquer sur qc","auf etw. klicken"
"le lien","der Link"
"liker qn/qc","jdn/etw. liken"
"le site (web)","die (Web-)Seite"
"poster qc","etw. posten"
"le tuto fam. / le tutoriel","das Erklaervideo, das Tutorial"
"enregistrer qc","etw. aufnehmen, etw. speichern"
"le reseau social","das soziale Netzwerk"
"etre accro a qc fam.","nach etw. suechtig sein, von etw. abhaengig sein"
"la victime","das Opfer"
"le (cyber)harcelement","das (Cyber-)Mobbing"
"creer qc","etw. erschaffen, etw. gruenden"
"la chaine","der Kanal (Internet)"
"avoir... vues","... Aufrufe/Klicks haben"
"un abonne / une abonnee","ein/eine Abonnent/-in"
"la star","der Star"
"voir qn/qc","jdn/etw. sehen"
