"Franzoesisch","Deutsch"
"un apprentissage","eine Ausbildung, eine Lehre"
"moderne","modern"
"plutot","eher"
"le jardin","der Garten"
"par contre","jedoch, allerdings"
"peu de","(nur) wenig"
"dur/dure","hart, schwierig"
"devoir + inf.","etw. tun muessen"
"Ca depend.","Es kommt darauf an."
"nul/nulle","doof, schlecht"
"enfin","schliesslich, auch: endlich"
"laisser qc","etw. lassen, etw. hinterlassen"
"laisser qn tranquille","jdn in Ruhe lassen"
"un etudiant / une etudiante","ein/eine Student/-in"
"lire (qc)","(etw.) lesen"
"quand meme","trotzdem, dennoch"
"je connais qn/qc","ich kenne jdn/etw."
"le seche-cheveux","der Foehn"
"le cheveu","das Haar"
"un oreiller","ein Kopfkissen"
"le dentifrice","die Zahnpasta"
"le couteau","das Messer"
