classe,page,de,en
Klasse 6 G-Kurs,180,"auf etwas horchen, (beim Zuhören) auf etwas achten",listen for sth.
Klasse 6 G-Kurs,180,Bahnhof,(train) station
Klasse 6 G-Kurs,180,"Zug, Eisenbahn",train
Klasse 6 G-Kurs,180,Bahnsteig,platform
Klasse 6 G-Kurs,180,(jemanden) verlassen; weggehen; abfahren; zurücklassen,"leave, simple past: left"
Klasse 6 G-Kurs,180,pünktlich,on time
Klasse 6 G-Kurs,180,"korrigieren, berichtigen",correct
Klasse 6 G-Kurs,180,Happy End (glückliches Ende),happy ending
Klasse 6 G-Kurs,180,Was ist das Besondere an ihm?,What’s special about him?
Klasse 6 G-Kurs,180,"Fahne, Flagge",flag
Klasse 6 G-Kurs,180,Feuer,fire
Klasse 6 G-Kurs,180,"geschehen, passieren",happen
Klasse 6 G-Kurs,180,"Müll, Abfall",rubbish
Klasse 6 G-Kurs,180,Mülleimer,rubbish bin
Klasse 6 G-Kurs,180,eine Hose anziehen,put on trousers
Klasse 6 G-Kurs,180,Zukunft,future
Klasse 6 G-Kurs,180,(feste) Freundin,girlfriend
Klasse 6 G-Kurs,180,(fester) Freund,boyfriend
Klasse 6 G-Kurs,180,windig,windy
Klasse 6 G-Kurs,180,Wind,wind
Klasse 6 G-Kurs,180,,ChatGPT fragen
