classe,page,de,en
Klasse 6 G-Kurs,178,vorsichtig; sorgfältig,careful
Klasse 6 G-Kurs,178,(mit dem Auto) fahren,"drive, simple past: drove"
Klasse 6 G-Kurs,178,vorsichtig fahren,drive carefully
Klasse 6 G-Kurs,178,planen,plan
Klasse 6 G-Kurs,178,das Wetter wird gut sein,the weather will be good
Klasse 6 G-Kurs,178,es wird nicht,it won’t (= will not)
Klasse 6 G-Kurs,178,regnen,rain (verb)
Klasse 6 G-Kurs,178,Regen,rain (noun)
Klasse 6 G-Kurs,178,ein bisschen,a bit
Klasse 6 G-Kurs,178,nebelig,foggy
Klasse 6 G-Kurs,178,Nebel,fog
Klasse 6 G-Kurs,178,(ein) Stiefel,boot
Klasse 6 G-Kurs,178,(das) Wandern,hiking
Klasse 6 G-Kurs,178,Zelt,tent
Klasse 6 G-Kurs,178,Wie ist das Wetter?,What’s the weather like?
Klasse 6 G-Kurs,178,kalt,cold
Klasse 6 G-Kurs,178,"packen, einpacken",pack
Klasse 6 G-Kurs,178,"Erste-Hilfe-Set, Verbandskasten",first-aid kit
Klasse 6 G-Kurs,178,Erste Hilfe,first aid
Klasse 6 G-Kurs,178,"Föhn, Haartrockner",hairdryer
Klasse 6 G-Kurs,178,Schlafsack,sleeping bag
Klasse 6 G-Kurs,178,Rucksack,rucksack
Klasse 6 G-Kurs,178,"(über)prüfen, kontrollieren",check
Klasse 6 G-Kurs,178,Geh geradeaus (weiter).,Go straight on.
Klasse 6 G-Kurs,178,Plastiktüte,plastic bag
Klasse 6 G-Kurs,178,"Plastik, Kunststoff",plastic
Klasse 6 G-Kurs,178,(Triller-)Pfeife,whistle
Klasse 6 G-Kurs,178,,ChatGPT fragen
