"Franzoesisch","Deutsch"
"l'allemand/l'allemande (m/f)","der/die Deutsche"
"meilleur/meilleure (adj)","besser"
"le francais/la francaise (m/f)","der/die Franzose/Franzoesin"
"la France (f)","Frankreich"
"le sport (m)","der Sport"
"les yeux (m, pl)","die Augen"
"les fleurs (f, pl)","die Blumen"
"le livre (m)","das Buch"
"l'actualite (f)","die Aktualitaet"
"la jeunesse (f)","die Jugend"
"la presse (f)","die Presse"
"francais-allemand/franco-allemand (adj)","deutsch-franzoesisch"
"plus de qc (quant)","mehr von etw."
"la cafetria (f)","die Cafeteria"
"un moniteur (m)","ein Betreuer"
"l'ordinateur (m)","der Computer"
"le programme (m)","das Programm"
"la violence (f)","die Gewalt"
