"Franzoesisch","Deutsch"
"le diner (m)","das Abendessen"
"le frigo (m)","der Kuehlschrank"
"le petit copain/la petite copine (m/f)","der/die feste Freund/in"
"s'en aller (v)","weggehen"
"avoir envie de (v)","Lust haben"
"remonter le moral a qn (v)","jdn. aufmuntern"
"regale-toi! (v)","lass es dir schmecken!"
"sincere (adj)","aufrichtig"
"la confiance (f)","das Vertrauen"
"l'age (m)","das Alter"
"pareil/pareille (adj)","gleich"
"la maternelle (f)","der Kindergarten"
"le demenagement (m)","der Umzug"
"un copain (m)","ein Freund"
"le temoin (m)","der Zeuge"
