"Franzoesisch","Deutsch"
"le conseil (m)","der Rat"
"donner des conseils","Ratschlaege geben"
"la mode (f)","die Mode"
"etre a la mode","in Mode sein"
"le vetement (m)","das Kleidungsstueck"
"le look (m)","der Look"
"porter (v)","tragen"
"s'habiller (v)","sich anziehen"
"la marque (f)","die Marke"
"le tissu (m)","der Stoff"
"le cuir (m)","das Leder"
"la laine (f)","die Wolle"
"le coton (m)","die Baumwolle"
"la soie (f)","die Seide"
"la couleur (f)","die Farbe"
"clair (adj)","hell"
"fonce (adj)","dunkel"
"le rouge (m)","Rot"
"le bleu (m)","Blau"
"le jaune (m)","Gelb"
"le vert (m)","Gruen"
"l'orange (m)","Orange"
"le gris (m)","Grau"
"le noir (m)","Schwarz"
"le blanc (m)","Weiss"
"le rose (m)","Rosa"
