"Franzoesisch","Deutsch"
"la francophonie","Frankophonie"
"tous","alle"
"la Belgique","Belgien"
"le néerlandais","Niederländisch"
"le dialecte","Dialekt"
"le Québec","Québec"
"le Canada","Kanada"
"le lac","See"
"la forêt","Wald"
"le gratte-ciel","Wolkenkratzer"
"neiger","schneien"
"le degré","Grad"
"souterrain","unterirdisch"
"la sauce","Sauce"
"le Sénégal","Senegal"
"l’Afrique","Afrika"
"la saison","Jahreszeit"
"la Tunisie","Tunesien"
"l’arabe","Arabisch"
"Il y a du soleil","Die Sonne scheint"
"la mosquée","Moschee"
"connaître comme sa poche","wie seine Westentasche kennen"
