"Franzoesisch","Deutsch"
"se moquer de qn (v)","sich ueber jdn. lustig machen"
"le camarade (m)","der Kamerad"
"le/la delegue/e (m/f)","der/die Delegierte/r"
"la violence (f)","die Gewalt"
"faire face a","etw. die Stirn bieten"
"le harcelement (m)","die Belaestigung"
"la medisance (f)","die Verleumdung"
"parler/parler de (v)","sprechen/ueber etw. sprechen"
"le coin (m)","die Ecke"
"le seul/la seule (m/f)","der/die Einzige"
"une seconde (f)","die Sekunde"
"le grand (m)","der Grosse"
"s'entraider (v)","sich gegenseitig helfen"
"le bavardage (m)","das Geschwaetz"
"le pot (m)","das Gefaess"
"le bavardage","das Geschwaetz"
"le bonheur (m)","das Glueck"
"draguer qn (v)","jdn. anbaggern"
"l'amour (m)","die Liebe"
"le mariage (m)","die Ehe"
"le mensonge (m)","die Luege"
"s'enerver avec qn (v)","sich ueber jdn. aufregen"
"en (prep)","in"
