"Franzoesisch","Deutsch"
"C'est quoi a l'image?","Was ist auf dem Bild?"
"le menu (m)","das Menue"
"la boisson (f)","das Getraenk"
"le poisson (m)","der Fisch"
"la viande (f)","das Fleisch"
"vegetarien (m)","vegetarisch"
"servi/servie (adj)","serviert"
"le serveur/la serveuse (m/f)","der/die Kellner/in"
"la langouste (f)","die Languste"
"la limonade (f)","die Limonade"
"le coca (m)","die Cola"
"la biere (f)","das Bier"
"le fromager (m)","der Kaesehaendler"
"l'addition (f)","die Rechnung"
"la carte de fidelite (f)","die Kundenkarte"
"le glacier (m)","der Eisladen"
"le gateau (m)","der Kuchen"
"bon appetit! (loc)","Guten Appetit!"
