"Franzoesisch","Deutsch"
"le lycee professionnel (m)","das Berufsgymnasium"
"le baccalaureat (m)","das Abitur"
"le bac general (m)","das allgemeine Abitur"
"le bac pro (m)","das berufliche Abitur"
"le CFA (m)","die Berufsschule"
"C'est chouette (loc)","Das ist toll"
"l'echange (m)","der Austausch"
"la redaction (f)","die Redaktion"
"l'autorisation (f)","die Erlaubnis"
"interdire qc (v)","etw. verbieten"
"le mensonge (m)","die Luege"
"la bise (f)","der Kuss"
"sauf (prep)","ausser"
"le physique (m)","die Physik"
"la natation (f)","das Schwimmen"
"le bac (m)","das Abitur"
"le correspondant/la correspondante (m/f)","der/die Korrespondent/in"
"le mensonge (m)","die Luege"
"la tromperie (f)","die Taeuschung"
"le niveau (m)","das Niveau"
