"Franzoesisch","Deutsch"
"apprendre que (v)","erfahren, dass"
"mourir (v)","sterben"
"bientot (adv)","bald"
"un miroir (m)","ein Spiegel"
"riche (adj)","reich"
"pauvre (adj)","arm"
"envahir (v)","einfallen"
"l'injustice (f)","die Ungerechtigkeit"
"le paysage (m)","die Landschaft"
"le medicament (m)","das Medikament"
"le dos (m)","der Ruecken"
"a la fois (loc)","zugleich"
"etre fier/fierede qn (v)","stolz auf jdn. sein"
"les morts (m, pl)","die Toten"
"la patrie (f)","die Heimat"
"le printemps (m)","der Fruehling"
"au-dessus de (prep)","ueber"
"le sol (m)","der Boden"
"la moisson (f)","die Ernte"
"le caribou (m)","das Karibu"
"l'automne (m)","der Herbst"
"la baie (f)","die Bucht"
"magnifique (adj)","wunderschoen"
"la foret (f)","der Wald"
