"Franzoesisch","Deutsch"
"l'argent de poche (m)","das Taschengeld"
"le groupe (m)","die Gruppe"
"le groupe","die Gruppe"
"le ou la candidate (m/f)","der/die Kandidat/in"
"la candidature (f)","die Bewerbung"
"le stage (m)","der Kurs"
"le zoo (m)","der Zoo"
"la location (f)","die Vermietung"
"le tour (m)","die Tour"
"la randonnee (f)","die Wanderung"
"la mecanique (f)","die Mechanik"
"la randonnee (f)","die Wanderung"
"la mecanique (f)","die Mechanik"
"dehors (adv)","draussen"
"deja (adv)","schon"
"l'avantage (m)","der Vorteil"
"le garage (m)","die Garage"
"le garage","die Garage"
"le bruit (m)","der Laerm"
"pres de chez moi (loc)","in der Naehe von mir"
"le debut (m)","der Anfang"
"une fois (f)","einmal"
