"Franzoesisch","Deutsch"
"le reve (m)","der Traum"
"rever (v)","traeumen"
"l'espoir (m)","die Hoffnung"
"esperer (v)","hoffen"
"le bonheur (m)","das Glueck"
"heureux/heureuse (adj)","gluecklich"
"la tristesse (f)","die Traurigkeit"
"triste (adj)","traurig"
"la chance (f)","das Glueck"
"l'echec (m)","das Scheitern"
"echouer (v)","scheitern"
"le succes (m)","der Erfolg"
"reussir (v)","Erfolg haben"
"l'objectif (m)","das Ziel"
"vouloir (v)","wollen"
"le desir (m)","der Wunsch"
"desirer (v)","wuenschen"
"l'ambition (f)","die Ambition"
"ambitieux/ambitieuse (adj)","ehrgeizig"
"le caractere (m)","der Charakter"
"la personnalite (f)","die Persoenlichkeit"
"confiant/confiante (adj)","zuversichtlich"
"courageux/courageuse (adj)","mutig"
