"Franzoesisch","Deutsch"
"avoir confiance en qn/qc (v)","Vertrauen in jdn/etw. haben"
"different/differente (adj)","verschieden"
"l'ideal (m)","das Ideal"
"le defaut (m)","der Fehler"
"etre deteste (v)","gehasst werden"
"un mauvais tour (m)","ein boeser Streich"
"le systeme (m)","das System"
"la qualite (f)","die Qualitaet"
"intelligent/intelligente (adj)","intelligent"
"la jalousie (f)","die Eifersucht"
"etre jaloux/jalouse (v)","eifersuechtig sein"
"se moquer de qn (v)","sich ueber jdn. lustig machen"
"le mensonge (m)","die Luege"
"la mere (f)","die Mutter"
"le pere (m)","der Vater"
"la photo (f)","das Foto"
"avoir soif (v)","Durst haben"
"etre au courant (v)","informiert sein"
"l'existence (f)","die Existenz"
"le mensonge (m)","die Luege"
"la bande de copains (f)","die Clique"
"la classe (f)","die Klasse"
"interesser qn (v)","jdn. interessieren"
"un mensonge (m)","eine Luege"
